SubjectID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x12,x14,x16,x17,L_d1,L_d2,L_d3,L_d4,L_d5,L_d6,L_d7,L_d8,L_d9,L_d10,L_theta1,L_theta2,R_d1,R_d2,R_d3,R_d4,R_d5,R_d6,R_d7,R_d8,R_d9,R_d10,R_theta1,R_theta2
73,15.8188,22.5041,20.4424,0.2153,0.1456,12.2319,5.9678,12.5399,35.4,52.8,180.5,55.9,118.4,1.7891,0.78,1.6286,2.1622,5.8689,2.8096,0.64,1.15,1.14,0.45,11.7775,22.3933,1.7793,0.7553,1.4627,2.0736,5.8605,2.9296,0.64,1,0.98,0.45,14.2337,20.8388
74,15.3719,20.5413,19.7245,0.7344,0.5133,11.8525,7.3471,14.4836,32.7,52.5,169.2,53.4,117.1,1.4862,1.1016,1.992,1.6121,6.5935,3.3722,0.57,1.24,1.24,0.42,16.6639,7.8667,1.5611,1.205,1.9104,1.5251,6.6737,3.283,0.57,1.2,1.2,0.42,9.3227,7.7028
75,15.311,20.4354,19.8142,0.031,0.9944,12.8326,7.9025,12.2867,35.8,55.6,181.2,56.6,126.1,1.8336,1.0155,1.5038,2.1722,6.1552,3.2622,0.56,0.9,1.15,0.18,12.8625,24.4402,1.8067,1.0735,1.4833,2.2334,6.176,3.4515,0.56,1.01,1.15,0.18,9.8397,27.3528
76,15.3328,21.2256,20.4796,0.314,0.1453,11.9279,7.5414,11.072,30.8,51.5,180.1,58.8,109.4,1.6218,0.839,1.8334,1.9207,6.1249,2.9939,0.56,0.9,1.1,0.42,15.4491,30.9816,1.6817,0.9299,1.9026,1.9496,6.0763,2.9938,0.56,1.04,1.14,0.42,16.9005,29.6004
77,14.6735,20.942,20.1568,0.5676,0.2622,11.378,6.6341,9.622,31.4,52.8,185,50.4,102.9,1.9649,1.1034,1.564,1.6179,5.7643,2.7046,0.48,1.35,1.3,0.37,4.9226,37.1822,1.972,1.1307,1.4052,1.6112,5.825,2.7094,0.48,1.3,1.3,0.37,6.993,32.2352
78,16.3243,22.4382,21.5155,0.2695,0.2246,12.5071,6.4727,12.0981,30.7,51,182.1,58.4,113,1.6851,1.0036,1.4535,1.7708,5.628,2.9485,0.38,1.11,1.04,0.33,8.246,22.2614,1.5498,0.9814,1.3428,1.8236,5.7091,2.903,0.38,1.1,1.04,0.33,13.7757,23.7048
79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,16.0106,21.0134,20.4192,0.1824,0.5347,12.626,7.3718,12.1309,32.7,52.1,183.1,56.4,117.9,1.7713,0.9531,1.7265,1.9865,6.1662,3.0327,0.49,1.42,1.45,0.35,15.8907,15.3557,1.7341,1.009,1.7281,1.8959,6.0709,3.008,0.49,1.4,1.35,0.35,10.5847,16.8221
81,13.4601,19.0162,19.3312,0.7091,0.0632,9.9128,7.4268,9.3042,27.5,48,173.1,53.5,100.1,1.8885,0.8666,1.5318,1.7961,5.8581,2.9782,0.68,1.03,0.97,0.29,8.6261,27.8308,1.9489,0.8821,1.4531,1.3536,5.5381,2.7208,0.68,1,1,0.29,13.4757,33.7073
82,15.2793,20.9903,21.1756,0.7005,0.2246,13.4364,6.2971,12.5443,33.7,58.7,183.3,59.1,122.6,2.0686,1.0736,1.9957,2.4664,6.5327,3.6449,0.57,1.22,1.37,0.26,14.9754,42.7338,2.1024,1.0717,2.0195,2.5292,6.5344,3.6648,0.57,1.24,1.36,0.26,9.0934,33.4589
83,15.2095,21.1807,20.7331,0.3026,0.7017,12.739,6.6686,12.9369,33.4,54.7,177.3,57,120.2,2.3204,0.8156,1.677,2.6771,6.5686,3.0144,0.79,1.07,1.46,0.28,4.7385,48.4346,2.2617,0.7855,1.9779,2.592,6.5481,3.1695,0.79,1.06,1.5,0.28,4.6864,35.8039
84,15.3933,21.4962,19.9883,0.3122,0.9399,11.5655,5.3494,11.8712,31.9,50.9,173.8,54.9,111.9,2.008,0.8173,1.8247,1.8418,6.043,2.9517,0.56,1.106,1.2,0.31,3.0574,17.3336,2.0292,0.8312,1.7355,1.894,6.0544,3.1987,0.56,1.14,1.29,0.31,3.6712,19.7937
85,16.9757,22.6168,20.4609,0.4038,0.7396,14.7222,5.1321,16.255,39.7,66.4,183.3,57.5,148.4,2.2163,0.9828,1.5638,1.8864,6.5823,3.0147,0.83,1.21,1.28,0.34,15.9361,11.2458,2.2666,1.0855,1.6005,2.3934,6.6404,2.9686,0.83,1.1,1.2,0.34,8.216,9.5992
86,15.1559,21.2667,19.7795,0.4503,0.6957,12.8053,8.4465,12.0875,32.8,56.3,182.6,57.5,120.5,2.1125,1.0821,2.012,2.3621,6.801,3.4177,0.78,1.25,1.22,0.35,7.3848,17.4682,2.0878,1.0577,1.7474,2.3824,6.7475,3.6304,0.78,1.24,1.23,0.35,7.9123,19.3601
87,14.5868,21.6894,20.5465,0.3211,0.6592,11.2491,9.0785,10.6762,32.9,52.4,190,58,109,1.721,0.9522,2.0639,2.2957,5.9353,2.9722,0.6,1.21,1.25,0.27,10.3985,24.9246,1.7388,1.0447,2.0268,2.2935,6.0354,2.9839,0.6,1.17,1.24,0.27,14.7164,20.7826
88,13.5372,21.142,19.6524,0.1805,0.4523,10.3057,5.3732,12.1585,31.9,51.1,188.2,57.2,113.9,1.7848,0.9542,1.6287,2.1294,5.7833,2.5578,0.65,1.16,1.2,0.34,7.3446,18.8856,1.8092,0.9491,1.6038,2.0779,5.8434,2.5456,0.65,1.06,1.16,0.34,9.1835,28.4618
89,15.1337,20.7329,20.4868,0.0635,0.6297,12.5003,7.4765,12.1923,33,49.5,176.1,57.2,113,1.8501,0.907,1.8069,1.6521,6.0629,2.9158,0.74,1.38,1.2,0.3,16.6888,24.5802,1.7916,0.9864,1.5099,2.0011,6.1537,3.0345,0.74,1.3,1.2,0.3,8.4369,26.9951
90,15.91,20.612,19.857,0.4512,0.3134,12.4129,8.1873,12.4936,31.5,50.8,187.4,55.7,119.9,1.7246,0.9579,2.0071,2.1218,6.282,2.9439,0.85,1,1.04,0.36,19.2491,18.3924,1.7097,1.0045,1.8014,2.1102,6.1035,2.971,0.85,1,1.03,0.36,17.9897,19.2776
91,14.6002,19.1193,19.8178,0.3387,0.4021,11.4531,6.8738,11.1328,33.8,51,178.5,56.3,114.4,1.6271,0.9381,1.6635,2.1499,5.8941,2.9325,0.76,1.09,1.25,0.29,6.3377,22.0418,1.6464,1.0033,1.6456,1.9582,5.8354,3.0065,0.76,0.96,1.24,0.29,7.1341,23.6179
92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,14.1563,21.6253,21.321,0.372,0.189,12.0286,6.0083,11.8608,31.5,47.9,180.1,57.2,107.1,1.9693,1.0148,1.8255,2.2313,6.9746,3.1904,0.77,1.23,1.07,0.31,5.9669,28.418,2.0022,0.9814,1.7875,2.2838,6.9702,3.4813,0.77,1.22,1.15,0.31,6.6747,29.8019
94,13.9625,20.5688,18.7372,0.2454,0.1743,10.9717,6.5317,12.6914,23.9,47.1,170.1,54.8,99.1,1.7594,0.8731,1.7057,2.073,5.0391,2.3955,0.56,0.96,1.03,0.23,0.7632,30.5518,1.7165,0.8943,1.6902,1.9934,4.9727,2.4002,0.56,1.13,0.95,0.23,14.6413,25.824
95,15.4716,22.8034,20.0123,1.0644,0.3175,12.0699,7.5329,12.6056,32.8,51.9,181.2,56.3,113.3,2.0195,1.081,1.776,2.313,6.0801,2.9972,0.67,1.25,1.35,0.24,6.539,31.999,1.8143,1.2127,1.9416,2.3219,6.0807,3.0358,0.67,1.25,1.35,0.24,8.3747,22.2037
96,14.81,21.55,18.73,0.0835,0.1185,11.85,8.37,11.8,30.6,50.4,175,56,110.5,1.7,0.82,1.79,2.18,5.99,3.24,0.72,1.16,1.09,0.23,16.4941,27.9157,1.58,1.11,1.77,2.27,6.01,3.18,0.72,1.1,1.1,0.23,12.2154,25.2729
