SubjectID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x12,x14,x16,x17,L_d1,L_d2,L_d3,L_d4,L_d5,L_d6,L_d7,L_d8,L_d9,L_d10,L_theta1,L_theta2,R_d1,R_d2,R_d3,R_d4,R_d5,R_d6,R_d7,R_d8,R_d9,R_d10,R_theta1,R_theta2
19,14.5614,20.112,20.8852,0.0943,0.7821,11.7965,7.9046,11.0792,34.8,56.1,185.6,58.6,116.4,1.8337,1.056,1.882,2.0813,6.1442,3.0452,0.86,1.29,1.3,0.34,1.2672,28.0547,1.8683,0.9928,1.8561,2.1116,6.2772,3.1131,0.86,1.28,1.33,0.34,9.9889,18.947
20,16.2259,20.7033,19.9631,0.118,0.2661,13.7738,7.4624,13.098,35.1,53.4,187,56.2,128.4,1.9693,0.8674,1.6619,2.332,6.4315,2.7251,0.66,1.03,1.05,0.35,12.1239,21.1125,2.0205,0.9087,1.6041,2.3343,6.3817,2.9073,0.66,1.1,1.1,0.35,15.5439,20.406
21,15.4168,20.448,21.843,0.2113,0.0261,12.6559,6.8256,12.548,32,55.6,178.8,59.4,112.1,1.594,0.9909,1.4832,1.839,6.0184,2.7466,0.47,1,1.1,0.34,16.0278,24.8924,1.7081,1.1124,1.6562,1.9364,6.0202,2.8871,0.47,0.95,1.06,0.34,14.7783,20.1608
22,13.5372,21.142,19.6524,0.1805,0.4523,10.3057,5.3732,12.1585,31.9,51.1,188.2,57.2,113.9,1.7848,0.9542,1.6287,2.1294,5.7833,2.5578,0.65,1.16,1.2,0.34,7.3446,18.8856,1.8092,0.9491,1.6038,2.0779,5.8434,2.5456,0.65,1.06,1.16,0.34,9.1835,28.4618
23,15.0996,21.208,20.4474,0.4082,0.2611,11.641,8.6654,11.4637,32.6,57.9,177.9,58,115.1,1.7218,1.1407,1.9029,2.1326,6.2952,3.1394,0.4,1.11,1.23,0.24,8.886,14.5388,1.8096,1.1181,1.8159,2.235,6.327,3.2584,0.4,1.13,1.3,0.24,9.983,12.8443
24,15.3947,21.157,19.6251,0.1194,0.4012,11.9317,6.7396,10.5062,36.5,49.2,182.5,59.5,112.8,1.57,1.0644,1.5529,1.9122,5.4307,2.686,0.59,1.15,1.32,0.3,8.3609,30.3358,1.6373,1.0994,1.6215,1.9582,5.5055,2.7013,0.59,1.2,1.36,0.3,6.4578,28.673
25,16.3142,22.5319,20.9048,0.0899,0.7438,12.6171,4.4658,14.0613,34.7,59.4,183.1,59.6,120.3,2.0326,1.3429,1.9542,2.4371,6.8851,3.3315,0.86,1.35,1.32,0.2,3.6669,34.1762,2.0931,1.3871,1.9701,2.414,6.9012,3.3477,0.86,1.3,1.32,0.2,0.3839,27.1718
26,15.0392,22.1396,21.613,0.4244,0.2699,12.007,9.0094,13.0901,32.4,57.5,188.6,58.9,117.6,1.6468,0.9444,1.8059,2.4881,6.6442,3.2739,1.02,1.2,1.29,0.39,13.8083,28.8524,1.7066,0.8846,1.9605,2.4845,6.4872,3.187,1.02,1.15,1.26,0.39,12.986,23.9127
27,14.5568,19.8882,18.7448,0.1952,0.2999,11.1001,6.8602,9.6135,28.9,53.2,170.1,54.1,105.2,1.7242,1.0517,1.6518,1.9458,5.9586,3.0817,0.68,1.04,0.99,0.35,7.1088,30.5076,1.7825,1.0103,1.8089,2.0308,5.9869,2.9656,0.68,1.02,0.99,0.35,6.4562,29.2766
28,14.561,20.0222,20.2742,0.0342,0.5621,12.7988,9.158,11.6026,35.1,60.5,205,56.8,118.9,1.8089,0.9352,1.488,2.1711,6.2484,3.2457,0.61,1.24,1.28,0.34,15.7319,30.6872,1.8627,0.9465,1.5692,2.0151,6.1752,3.1027,0.61,1.25,1.25,0.34,14.6395,37.1304
29,13.9852,20.119,20.2467,0.1934,0.1098,12.3303,8.4236,11.7624,30.3,55.4,179.5,56.4,113.9,1.8255,1.0835,1.7817,2.0098,6.0936,2.9337,0.58,0.92,1.03,0.29,14.954,22.7625,1.8604,1.0979,1.7296,2.0117,6.1036,3.0056,0.58,0.8,1.02,0.29,12.7446,30.3769
30,14.8432,19.5338,19.215,0.4236,0.0995,11.8989,6.9732,11.4511,32.8,55.8,172.6,53.4,107.3,1.761,0.7156,1.6055,2.1183,5.9379,2.5562,0.43,1.04,1.12,0.31,14.1656,44.8042,1.6905,0.9409,1.5896,2.0519,6.1101,2.6356,0.43,0.98,1.1,0.31,17.9665,42.5755
31,14.51,19.0707,19.2247,0.5054,0.0345,10.5009,5.672,10.3855,26.8,46.3,167.3,54.4,101.4,1.4467,0.9378,1.6344,1.7627,5.0792,2.8451,0.47,1.17,1.22,0.33,5.9972,23.4439,1.6518,0.9556,1.571,1.8205,4.9607,2.7154,0.47,1.1,1.2,0.33,5.6457,21.4699
32,15.1033,21.1945,20.1631,0.233,0.447,11.5206,9.0186,11.5926,35.5,54.9,197.9,57.5,118.8,1.989,1.0056,1.6208,2.1442,6.1669,2.7373,0.6,1.04,1.06,0.31,7.709,24.7666,1.9044,0.9511,1.6031,2.1004,6.0817,2.9985,0.6,1.04,1.11,0.31,6.0444,23.9581
33,15.5458,21.154,20.0989,0.4536,0.3692,11.945,6.1416,11.432,35.9,56.5,190.3,56.4,116.2,2.1963,1.3589,1.6733,2.2258,6.2931,2.6529,0.98,1.37,1.42,0.37,9.6065,38.3482,2.2011,1.3284,1.7563,2.3434,6.3452,2.6878,0.98,1.3,1.4,0.37,10.4431,38.8867
34,15.4511,23.3565,20.4182,0.343,1.1805,12.0584,6.6172,10.7265,41.5,61.8,190.3,56.2,124.4,1.9077,0.886,1.85,2.0778,6.0631,3.129,0.74,1.07,1.06,0.25,7.493,27.8933,1.9291,1.0218,1.8534,1.9761,5.9878,2.9745,0.74,1,0.9,0.25,3.384,34.6862
35,14.5458,19.2036,19.6378,0.0884,0.4071,11.8839,5.8472,11.1696,33.9,55.8,181.3,54.6,110.9,1.6471,1.0646,2.0618,2.557,5.8287,3.1607,0.48,1.46,1.34,0.3,9.0797,32.7018,1.7193,1.1854,2.0742,2.1277,6.1469,3.152,0.48,1.45,1.36,0.3,9.833,11.7272
36,16.5434,22.6175,22.0796,0.3904,0.6123,13.6073,7.4808,13.952,43.3,64.9,189.4,60.9,139.2,2.0577,0.9853,1.8343,2.2562,6.6125,3.057,0.74,1.09,1.03,0.37,14.3742,17.1077,2.1204,0.8875,1.8632,2.1617,6.6252,3.2839,0.74,0.99,1.03,0.37,15.6134,15.2713
37,15.6842,21.8271,20.2635,0.068,0.1008,12.531,6.965,11.5902,40.6,58.2,185.5,56.6,124.1,1.6383,1.2569,1.5394,1.6759,5.7818,2.7025,0.72,1.02,1.11,0.37,6.3022,28.1035,1.7028,1.285,1.5574,1.5844,5.7182,2.7009,0.72,0.9,1.03,0.37,8.8361,23.5812
38,15.4143,21.3127,20.2477,0.2384,0.2318,12.8079,8.6933,11.9546,32.9,56.1,179,56.9,115.1,1.8922,1.1077,1.5761,1.9201,5.954,2.5652,0.61,1.28,1.32,0.26,11.0549,28.2086,1.9217,1.1475,1.5574,1.9515,6.0154,2.9352,0.61,1.2,1.3,0.26,4.5367,31.2253
39,15.6816,22.5724,21.0678,0.4514,0.0514,11.8402,7.9265,11.0472,33.1,55.2,195.8,57.7,113.8,1.8273,0.7753,1.9839,2.4742,6.045,3.1341,0.75,1.07,1.11,0.33,7.1499,34.7917,1.903,0.7446,2.003,2.4523,5.9683,3.2513,0.75,1.05,1.1,0.33,5.225,31.5875
